Sum of GDP,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,Grand Total
AUS,420985.8961,414721.1119,427877.5497,446013.745,465608.7249,482911.8878,501071.5488,519037.3384,547056.5059,568424.2638,587597.4197,603570.3006,626521.4349,646925.9815,671256.0052,693391.4268,711472.3101,744814.84,763589.6377,775482.2798,792980.4314,813376.5975,842916.566,863550.1827,885749.6807,911549.2454,946475.8562,983554.1088,1020828.758,1058135.553,1095687.973,1133435.593,1171685.817,1210607.327,1250350.494,1290975.242,1331644.91,1373373.192,1416091.359,1459603.321,1503774.916,1547916.334,1592723.822,1638205.399,1684407.179,1731316.991,1777863.198,1825076.166,1872927.745,1921350.289,1970272.05,2018586.204,2067586.521,2117278.042,2167701.313,2218914.461,2269842.185,2321780.12,2374713.194,2428603.553,2483415.195,2538143.327,2593843.175,2650550.037,2708267.121,2766954.829,2826567.261,2887107.455,2948576.3,3010972.57,3074303.178,103010442.5
AUT,195240.1247,201727.8982,205675.6794,207339.755,212396.1508,218517.3015,222971.9078,228451.6062,237037.487,245173.9886,254691.1979,257186.1228,261077.6992,263498.0265,269203.1422,276649.4827,287228.6351,297722.7855,300357.9251,289971.6062,295425.2594,303935.3008,306039.1841,307354.4935,311829.6305,318504.1085,327001.493,335298.6485,343043.1363,350408.4642,357609.511,364711.0758,371820.094,379000.991,386293.9086,393724.1045,401307.7849,409060.2693,416985.2392,425073.8261,433314.1121,441695.1494,450204.9891,458828.5508,467545.0804,476333.88,485176.5261,494057.9782,502966.1895,511889.9893,520821.7453,529761.1041,538712.6858,547681.6472,556673.0996,565691.7989,574744.0427,583835.0831,592966.2283,602135.9261,611342.3583,620588.0727,629879.4957,639221.8161,648616.6546,658063.3461,667565.4413,677130.0342,686761.1093,696456.8837,706213.3788,29613419.44
BEL,250149.3163,254734.7391,258633.8486,256146.1192,264411.8814,270717.4628,274562.7357,284820.4126,290315.632,300592.0471,311643.6314,314140.7411,318411.0749,320978.2062,331485.3969,337311,346304.3426,356271.0847,359778.0839,349705.8163,357829.3127,364178.5987,363676.6126,364522.7896,370165.6705,376630.9591,383799.5142,391511.0972,399595.7473,408076.2332,416989.4954,426331.8646,436064.8047,446002.8809,456144.3575,466496.5343,477073.703,487901.3997,498995.5725,510354.3582,521968.9593,533828.5076,545921.2438,558046.5992,570193.697,582370.8316,594587.5739,606857.2795,619193.7415,631606.7525,644105.7885,656705.9714,669427.6111,682289.2258,695305.6034,708488.9557,721853.6199,735417.0892,749195.6783,763206.3457,777465.4664,791991.8922,806804.8529,821918.2313,837339.7388,853071.7574,869119.0565,885488.973,902184.4369,919202.1204,936537.0611,36645149.74
BRA,,,,,,,1277330.576,1320707.883,1321425.412,1324788.648,1381470.126,1399340.395,1436303.752,1452987.88,1536028.856,1584603.642,1646864.043,1746940.646,1837297.012,1831592.458,1969859.693,2023815.549,2044628.94,2091305.141,2128401.906,2174948.974,2237616.646,2302493.204,2366042.384,2428237.994,2489944.134,2552108.432,2615584.317,2681093.792,2749203.313,2820309.648,2894639.413,2972238.832,3052954.764,3136464.237,3222357.917,3310215.434,3399673.806,3490415.846,3582164.775,3674706.298,3767899.099,3861679.606,3956062.723,4051128.806,4147022.025,4243952.127,4342166.38,4441892.039,4543304.778,4646482.927,4751386.963,4857836.503,4965474.472,5073777.865,5182058.939,5289506.045,5395231.362,5498302.667,5597825.648,5692955.66,5782963.966,5867307.251,5945683.006,6018161.417,6085062.992,215514232
CAN,773384.3186,756986.8814,763454.2014,783360.2826,819034.1839,841463.396,855596.8535,891988.5688,928900.5294,975320.4663,1025286.929,1042598.001,1071809.827,1092445.379,1126735.132,1162375.425,1192850.372,1216806.711,1231108.792,1197727.622,1238142.01,1269444.919,1291139.61,1317079.603,1349458.422,1386212.171,1415076.197,1442842.979,1471372.067,1500984.83,1531657.679,1563309.763,1595901.385,1629444.784,1663666.468,1698391.55,1733646.52,1769473.771,1805878.865,1842820.647,1880255.698,1918150.002,1956513.747,1995364.379,2034715.94,2074569.483,2114929.737,2155816.529,2197251.071,2239239.681,2281788.924,2324927.395,2368716.898,2413206.632,2458424.486,2504383.073,2551096.324,2598594.475,2646888.755,2695973.695,2745832.147,2796455.201,2847856.692,2900035.032,2952967.675,3006611.035,3060929.535,3115912.445,3171542.07,3227802.424,3284691.114,128786620.4
CHE,231139.6105,229022.7957,228922.6371,228634.2323,231537.333,232650.7184,233778.3121,238552.572,245075.0577,248496.5436,257619.3189,260821.9176,261305.4028,261360.501,267688.3944,274902.4684,285215.5905,296184.178,302594.3618,296733.6213,305496.8236,310966.0795,314228.4043,320381.0583,326652.9371,334829.4415,342695.2578,350575.9038,358571.853,366687.2864,374898.5462,383175.4538,391493.01,399838.6994,408215.6532,416636.3909,425119.7386,433685.5788,442346.6393,451108.2377,459974.382,468950.1011,478039.2743,487241.8258,496550.8005,505957.1455,515451.044,525021.8036,534656.8868,544338.6719,554049.6583,563778.7554,573521.9076,583276.2466,593037.8477,602803.402,612574.4049,622357.8119,632161.0376,641990.6195,651853.2232,661758.7619,671718.9267,681741.84,691829.3974,701978.5699,712187.7606,722456.3815,732779.0458,743143.8516,753536.3208,31290556.27
CHL,,,,,,135109.7351,145068.3818,154643.1257,159680.3303,158515.0286,165581.1075,171125.0617,174833.1854,181750.901,194282.1325,206427.4255,218281.4261,229646.0137,236911.4702,234764.134,248113.5297,262333.4551,276629.5872,288319.8675,298685.7662,311350.0597,328672.499,347582.5313,367135.7727,387001.4201,407021.6071,427077.8131,447067.9052,466910.4431,486555.6855,505980.6147,525185.0693,544184.8229,563002.2443,581666.0294,600210.0304,618671.4862,637089.6247,655502.0724,673945.9236,692454.6352,711056.2492,729774.8261,748625.5434,767611.3852,786725.6345,805958.6015,825302.6335,844744.0904,864261.4043,883825.155,903403.6598,922968.6836,942490.4363,961939.5962,981285.462,1000499.407,1019556.649,1038435.456,1057122.275,1075608.565,1093894.24,1111987.081,1129900.385,1147658.319,1165294.236,38234899.93
CHN,1249322.659,1363997.195,1558240.031,1776393.636,2009101.202,2228093.233,2450902.556,2678836.494,2887785.74,3107257.457,3368267.083,3647833.251,3979786.077,4377764.684,4819918.918,5364569.755,6045870.114,6904383.67,7567204.503,8264461.777,9127849.193,9976728.691,10740203.15,11564104.62,12415720,13325588.7,14217032.08,15099104.34,15974175,16843997.92,17709685.38,18571708.39,19430179.47,20285254.71,21137374.55,21987555.58,22837736.17,23690868.44,24550611.12,25421158.8,26307247.69,27213856.46,28145653.24,29106136.48,30096921.88,31117404.7,32164511.37,33232621.67,34313941.83,35399061.85,36477854.12,37540646.23,38579267.31,39587350.81,40560776.82,41497784.96,42399087.06,43267661.11,44108231.69,44926899.76,45730396.87,46525479.86,47318172.22,48113248.18,48914182.75,49722574.21,50538243.15,51359516.2,52183507.22,53007381.57,53827698.23,1683839944
CZE,188605.6068,161795.6774,151461.1236,150038.2502,153969.8739,163111.9696,169899.2637,168395.2371,168025.5869,170560.6107,178323.8941,183823.524,187600.2848,194659.8916,203580.3927,217477.5508,233188.4539,246530.7176,253706.4863,242653.0225,248253.0279,252789.4157,250415.8868,248048.3651,251148.3136,257257.1155,267913.7094,279504.4227,291114.5662,302603.0544,313983.0778,325268.3034,336457.8607,347545.8365,358530.9003,369417.4387,380216.7268,390941.8519,401594.5232,412158.2394,422605.165,432901.1425,443009.2681,452894.8215,462533.2183,471910.8582,481025.5431,489890.1029,498527.943,506970.9005,515257.1767,523431.8079,531543.2746,539635.2966,547744.5147,555902.8391,564140.8263,572486.3044,580964.5725,589601.6119,598424.5945,607464.3889,616755.0275,626325.089,636191.4817,646366.2126,656865.7513,667712.2644,678919.8538,690483.6968,702390.4237,27383446.03
DEU,2060417.96,2167581.164,2200171.592,2177909.96,2232954.426,2272601.78,2291142.383,2332136.977,2370757.828,2412073.24,2491624.543,2532426.686,2533196.503,2523380.884,2540895.007,2562386.684,2661954.162,2752155.112,2774352.544,2633277.157,2734833.36,2827792.968,2853133.949,2868466.906,2924178.303,2984411.778,3014819.366,3041559.635,3070391.414,3101104.624,3133133.39,3165820.17,3198683.261,3231457.219,3264067.754,3296555.73,3329022.243,3361643.658,3394561.918,3427882.625,3461731.201,3496269.819,3531667.937,3568065.298,3605526.905,3644089.265,3683765.828,3724527.942,3766298.167,3808912.231,3852184.365,3895965.308,3940141.629,3984614.799,4029302.133,4074142.456,4119111.579,4164198.735,4209380.516,4254616.511,4299867.956,4345126.805,4390403.895,4435686.197,4480914.901,4525996.498,4570851.455,4615412.448,4659581.371,4703217.469,4746168.716,237334657.2
DNK,130796.7322,132497.6482,135115.0869,134994.017,142452.8559,146819.5222,150981.1845,155810.2449,159176.2217,163252.0873,169012.6876,170203.9459,170996.7211,171652.9434,175595.0501,179888.4924,185995.3061,188939.9828,187459.0881,176837.0645,179289.6619,181210.25,180560.1976,181275.4415,183857.321,187090.8651,190457.8382,193707.8998,196912.01,200179.5845,203586.898,207171.5216,210943.559,214899.1922,219030.3232,223327.9261,227785.6213,232399.0466,237161.0804,242061.3574,247090.8776,252244.0338,257517.7006,262909.968,268419.6332,274047.5811,279796.1158,285667.8924,291664.7159,297785.6161,304029.0816,310396.2108,316890.5027,323512.8617,330258.6058,337119.2435,344086.1299,351152.0876,358308.6807,365546.2385,372854.1871,380223.4171,387646.3172,395115.522,402625.3786,410171.1662,417752.1877,425371.1195,433030.6919,440733.4884,448482.241,17893833.97
