Country,Appearances,Streak,Active Streak,Debut,Recent,Best Result
Brazil,21,21,21,1930,2018,"Championsÿ(1958,ÿ1962,ÿ1970,ÿ1994,ÿ2002)"
ÿGermany,19,17,17,1934,2018,"Championsÿ(1954,ÿ1974*,ÿ1990,ÿ2014)"
ÿItaly,18,14,0,1934,2014,"Championsÿ(1934*,ÿ1938,ÿ1982,ÿ2006)"
ÿArgentina,17,12,12,1930,2018,"Championsÿ(1978*,ÿ1986)"
ÿMexico,16,7,7,1930,2018,"Quarterfinalsÿ(1970*,ÿ1986*)"
ÿSpain,15,11,11,1934,2018,Championsÿ(2010)
ÿFrance,15,6,6,1930,2018,"Championsÿ(1998*,ÿ2018)"
ÿEngland,15,6,6,1950,2018,Championsÿ(1966*)
ÿBelgium,13,6,2,1930,2018,Third placeÿ(2018)
ÿUruguay,13,4,3,1930,2018,"Championsÿ(1930*,ÿ1950)"
ÿSerbia,12,4,1,1930,2018,"Fourth placeÿ(1930,[b]ÿ1962)"
ÿSweden,12,3,1,1934,2018,Runners-upÿ(1958*)
ÿSwitzerland,11,4,4,1934,2018,"Quarterfinalsÿ(1934,ÿ1938,ÿ1954*)"
ÿRussia,11,4,2,1958,2018,Fourth placeÿ(1966)
ÿSouth Korea,10,9,9,1954,2018,Fourth placeÿ(2002*)
ÿUnited States,10,7,0,1930,2014,Third placeÿ(1930[b])
ÿNetherlands,10,3,0,1934,2014,"Runners-upÿ(1974,ÿ1978,ÿ2010)"
ÿHungary,9,4,0,1934,1986,"Runners-upÿ(1938,ÿ1954)"
ÿCzech Republic,9,3,0,1934,2006,"Runners-upÿ(1934,ÿ1962)"
ÿChile,9,2,0,1930,2014,Third placeÿ(1962*)
ÿScotland,8,5,0,1954,1998,Round 1
ÿPoland,8,4,1,1938,2018,"Third placeÿ(1974,ÿ1982)"
ÿParaguay,8,4,0,1930,2010,Quarterfinalsÿ(2010)
ÿPortugal,7,5,5,1966,2018,Third placeÿ(1966)
ÿBulgaria,7,4,0,1962,1998,Fourth placeÿ(1994)
ÿCameroon,7,4,0,1982,2014,Quarterfinalsÿ(1990)
ÿRomania,7,3,0,1930,1998,Quarterfinalsÿ(1994)
ÿAustria,7,2,0,1934,1998,Third placeÿ(1954)
ÿJapan,6,6,6,1998,2018,"Round 2ÿ(2002*,ÿ2010,ÿ2018)"
ÿNigeria,6,3,3,1994,2018,"Round 2ÿ(1994,ÿ1998,ÿ2014)"
ÿColombia,6,3,2,1962,2018,Quarterfinalsÿ(2014)
ÿAustralia,5,4,4,1974,2018,Round 2ÿ(2006)
ÿSaudi Arabia,5,4,1,1994,2018,Round 2ÿ(1994)
ÿCroatia,5,3,2,1998,2018,Runners-upÿ(2018)
ÿTunisia,5,3,1,1978,2018,Round 1
ÿIran,5,2,2,1978,2018,Round 1
ÿCosta Rica,5,2,2,1990,2018,Quarterfinalsÿ(2014)
ÿPeru,5,2,1,1930,2018,"Quarterfinalsÿ(1970,ÿ1978ÿ(top 8))"
ÿMorocco,5,2,1,1970,2018,Round 2ÿ(1986)
ÿDenmark,5,2,1,1986,2018,Quarterfinalsÿ(1998)
ÿAlgeria,4,2,0,1982,2014,Round 2ÿ(2014)
ÿGhana,3,3,0,2006,2014,Quarterfinalsÿ(2010)
ÿIvory Coast,3,3,0,2006,2014,Round 1
ÿNorway,3,2,0,1938,1998,Round 2ÿ(1998)
ÿHonduras,3,2,0,1982,2014,Round 1
ÿGreece,3,2,0,1994,2014,Round 2ÿ(2014)
ÿEcuador,3,2,0,2002,2014,Round 2ÿ(2006)
ÿNorthern Ireland,3,2,0,1958,1986,Quarterfinalsÿ(1958)
ÿRepublic of Ireland,3,2,0,1990,2002,Quarterfinalsÿ(1990)
ÿSouth Africa,3,2,0,1998,2010,Round 1
ÿEgypt,3,1,1,1934,2018,Round 1
ÿBolivia,3,1,0,1930,1994,Round 1
ÿTurkey,2,1,0,1954,2002,Third placeÿ(2002)
ÿSenegal,2,1,1,2002,2018,Quarterfinalsÿ(2002)
ÿNorth Korea,2,1,0,1966,2010,Quarterfinalsÿ(1966)
ÿEl Salvador,2,1,0,1970,1982,Round 1
ÿNew Zealand,2,1,0,1982,2010,Round 1
ÿSlovenia,2,1,0,2002,2010,Round 1
ÿCuba,1,1,0,1938,1938,Quarterfinalsÿ(1938)
ÿIndonesia,1,1,0,1938,1938,Round 1
ÿWales,1,1,0,1958,1958,Quarterfinalsÿ(1958)
ÿIsrael,1,1,0,1970,1970,Round 1
ÿDR Congo,1,1,0,1974,1974,Round 1
ÿEast Germany,1,1,0,1974,1974,Quarterfinalsÿ(1974ÿ(top 8))
ÿHaiti,1,1,0,1974,1974,Round 1
ÿKuwait,1,1,0,1982,1982,Round 1
ÿCanada,1,1,0,1986,1986,Round 1
ÿIraq,1,1,0,1986,1986,Round 1
ÿUnited Arab Emirates,1,1,0,1990,1990,Round 1
ÿJamaica,1,1,0,1998,1998,Round 1
ÿChina PR,1,1,0,2002,2002,Round 1
ÿAngola,1,1,0,2006,2006,Round 1
ÿTogo,1,1,0,2006,2006,Round 1
ÿTrinidad and Tobago,1,1,0,2006,2006,Round 1
ÿUkraine,1,1,0,2006,2006,Quarterfinalsÿ(2006)
ÿSlovakia,1,1,0,2010,2010,Round 2ÿ(2010)
ÿBosnia and Herzegovina,1,1,0,2014,2014,Round 1
ÿIceland,1,1,1,2018,2018,Round 1
ÿPanama,1,1,1,2018,2018,Round 1
