Rank,Team,Pld,W,D,L,GF,GA,GD,Points,Topscorer(s),Num of Goals
1, Brazil,109,73,18,18,229,105,124,237,Ronaldo,15
2, Germany,109,67,20,22,226,125,101,221,M. Klose,16
3, Italy,83,45,21,17,128,77,51,156,"C. Vieri, R. Baggio, P. Rossi",9
4, Argentina,81,43,15,23,137,93,44,144,G. Batistuta,10
5, France,66,34,13,19,120,77,43,115,J. Fontaine,13
6, England,69,29,21,19,91,64,27,108,G. Lineker,10
7, Spain,63,30,15,18,99,72,27,105,D. Villa,9
8, Netherlands,50,27,12,11,86,48,38,93,J. Rep,7
9, Uruguay,56,24,12,20,87,74,13,84,Ó. Míguez,8
10, Sweden,51,19,13,19,80,73,7,70,"H. Larsson, K. Andersson",5
11, Belgium,48,20,9,19,68,72,-4,69,"M. Wilmots, R. Lukaku",5
12, Russia,45,19,10,16,77,54,23,67,O. Salenko,6
13, Serbia,46,18,8,20,66,63,3,62,D. Jerković,4
14, Mexico,57,16,14,27,60,98,-38,62,"L. Hernández, J. Hernández",4
15, Poland,34,16,5,13,46,45,1,53,G. Lato,10
16, Hungary,32,15,3,14,87,57,30,48,S. Kocsis,11
17, Portugal,30,14,6,10,49,35,14,48,Eusébio,9
18,  Switzerland,37,12,8,17,50,64,-14,44,J. Hügi,6
19, Czech Republic,33,12,5,16,47,49,-2,41,O. Nejedlý,7
20, Austria,29,12,4,13,43,47,-4,40,E. Probst,6
21, Chile,33,11,7,15,40,49,-9,40,"M. Salas, L. Sánchez",4
22, Croatia,23,11,4,8,35,26,9,37,D. Šuker,6
23, Denmark,20,9,5,6,30,26,4,32,J. D. Tomasson,5
24, Paraguay,27,7,10,10,30,38,-8,31,N. Cuevas,3
25, Colombia,22,9,3,10,32,30,2,30,J. Rodríguez,6
26, United States,33,8,6,19,37,62,-25,30,L. Donovan,5
27, Romania,21,8,5,8,30,32,-2,29,F. Răducioiu,4
28, South Korea,34,6,9,19,34,70,-36,27,"Ahn Jung-hwan, Park Ji-sung, Son Heung-min",3
29, Nigeria,21,6,3,12,23,30,-7,21,A. Musa,4
30, Japan,21,5,5,11,20,29,-9,20,K. Honda,4
31, Costa Rica,18,5,5,8,19,28,-9,20,"R. Gómez, P. Wanchope",3
32, Scotland,23,4,7,12,25,41,-16,19,J. Jordan,4
