Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Afghanistan,"Population, male",4649361,4729085,4813500,4902742,4996990,5096399,5199609,5306376,5419182,5541419,5674682,5818118,5967987,6119136,6264873,6398958,6524577,6639628,6726764,6763626,6736957,6642670,6493970,6317189,6148693,6018078,5926288,5874818,5893319,6017386,6267967,6666301,7195469,7791066,8363390,8849356,9219569,9495939,9729038,9995063,10346986,10803963,11342077,11919887,12476432,12969247,13381926,13732622,14054874,14398315,14797694,15264598,15784301,16333412,16876928,17389625,17864423,18309891,18735000,19156000,19582000,20017000,20455000,20896000,21338000,21777000,22215000,22652000,23088000,23522000,23953000,24383000,24809000,25233000,25652000,26068000,26478000,26884000,27285000,27679000,28067000,28449000,28823000,29189000,29547000,29897000,30239000,30571000,30895000,31210000,31516000
Albania,"Population, male",828205,854495,881002,907383,933879,959968,985646,1011998,1041259,1071887,1099525,1126332,1154556,1181887,1209110,1237093,1264649,1292943,1320071,1346534,1374206,1401535,1430681,1460530,1491093,1522080,1552819,1585881,1617007,1659149,1683244,1661987,1636420,1609515,1585907,1569137,1560944,1559800,1562331,1563784,1560981,1548466,1542010,1531950,1521004,1510064,1499018,1487273,1476369,1467513,1461599,1459381,1459114,1458648,1457453,1454334,1452292,1450509,1451000,1450000,1450000,1449000,1449000,1448000,1447000,1446000,1444000,1442000,1440000,1437000,1434000,1430000,1426000,1421000,1415000,1409000,1403000,1395000,1388000,1380000,1372000,1363000,1355000,1346000,1337000,1328000,1319000,1310000,1301000,1292000,1283000
Algeria,"Population, male",5597837,5736265,5876712,6021891,6175647,6340689,6518254,6707252,6905216,7108506,7314625,7522987,7734883,7951999,8176839,8411394,8655590,8909279,9174193,9452446,9745229,10052652,10373305,10704896,11044252,11388509,11736343,12086388,12435506,12780130,13117244,13445731,13764639,14071498,14363648,14639458,14898762,15142743,15373100,15592329,15803153,16006520,16204849,16404313,16612537,16835566,17074632,17330072,17605574,17905067,18230398,18583561,18961440,19354174,19748272,20133470,20505903,20866388,21215000,21554000,21885000,22206000,22516000,22816000,23106000,23385000,23654000,23914000,24165000,24409000,24647000,24879000,25107000,25330000,25551000,25770000,25988000,26206000,26423000,26640000,26857000,27075000,27293000,27510000,27726000,27941000,28153000,28363000,28569000,28770000,28964000
Angola,"Population, male",2742585,2796481,2851979,2908157,2963664,3017781,3070224,3122099,3175771,3234432,3300464,3374941,3457647,3548042,3645025,3747887,3855958,3969748,4090950,4221884,4363811,4518246,4683661,4854641,5023810,5186190,5339056,5484781,5629707,5782990,5951053,6137180,6339072,6550825,6763717,6972032,7173636,7372303,7575412,7793313,8033545,8298798,8587105,8895760,9220109,9556746,9904946,10265910,10640262,11029120,11433115,11852498,12286368,12732763,13189103,13653564,14125405,14605264,15095000,15595000,16109000,16636000,17177000,17730000,18297000,18877000,19470000,20077000,20697000,21330000,21977000,22636000,23309000,23995000,24694000,25405000,26128000,26864000,27612000,28371000,29141000,29922000,30714000,31516000,32328000,33149000,33980000,34821000,35670000,36528000,37395000
Antigua and Barbuda,"Population, male",26066,26371,26879,27517,28205,28892,29554,30217,30859,31479,32057,32586,33056,33480,33901,34319,34753,35185,35561,35794,35836,35682,35360,34912,34402,33889,33367,32848,32430,32203,32250,32600,33233,34048,34933,35781,36559,37290,37992,38686,39389,40103,40812,41504,42160,42782,43343,43876,44378,44873,45370,45874,46390,46911,47425,47939,48454,48966,49000,50000,50000,51000,51000,52000,52000,53000,53000,54000,54000,55000,55000,56000,56000,56000,57000,57000,57000,58000,58000,58000,58000,59000,59000,59000,59000,60000,60000,60000,60000,60000,60000
Argentina,"Population, male",10471009,10627583,10783548,10938547,11092034,11243942,11393293,11541115,11691704,11850772,12022050,12208274,12407347,12612316,12813363,13003766,13180498,13346696,13509265,13678251,13860780,14059041,14270344,14491061,14715497,14939405,15161574,15382934,15603797,15825067,16047204,16270360,16493560,16714908,16931906,17142953,17347100,17545244,17739822,17934338,18131323,18331826,18535209,18740331,18945315,19148908,19350590,19551139,19752158,19955888,20163793,20376426,20592912,20811443,21029519,21245214,21457908,21667866,21875000,22080000,22283000,22484000,22683000,22879000,23073000,23264000,23453000,23640000,23824000,24006000,24185000,24361000,24535000,24706000,24874000,25040000,25203000,25363000,25521000,25676000,25829000,25978000,26125000,26270000,26411000,26550000,26686000,26819000,26949000,27075000,27199000
Armenia,"Population, male",903002,937045,971494,1006013,1040243,1073911,1106796,1138844,1170242,1201276,1232157,1262934,1293462,1323510,1352769,1381021,1408109,1434127,1459380,1484313,1509206,1533512,1556869,1579966,1603712,1628364,1655207,1683008,1706506,1718649,1714815,1692673,1654929,1608294,1562321,1524013,1495573,1475292,1461447,1450802,1440918,1431977,1424809,1418253,1410904,1401871,1390331,1376748,1363148,1352359,1346351,1345834,1349909,1356932,1364486,1370758,1375250,1378342,1380000,1382000,1383000,1383000,1384000,1383000,1383000,1381000,1380000,1378000,1375000,1372000,1369000,1366000,1362000,1358000,1354000,1350000,1346000,1342000,1338000,1334000,1330000,1325000,1321000,1316000,1312000,1307000,1302000,1297000,1292000,1286000,1280000
Aruba,"Population, male",26574,27184,27570,27788,27938,28092,28257,28424,28582,28738,28885,29039,29206,29354,29463,29507,29475,29377,29269,29227,29291,29520,29888,30289,30609,30723,30589,30262,29975,30039,30658,31929,33753,35871,37915,39616,40906,41836,42520,43149,43841,44646,45486,46310,47025,47575,47936,48137,48249,48341,48467,48649,48876,49127,49378,49598,49799,49982,50000,50000,50000,51000,51000,51000,51000,51000,51000,51000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,51000,51000,51000,51000,51000,51000
Australia,"Population, male",5191453,5292469,5419632,5520926,5626905,5735214,5865121,5937540,6041361,6167167,6287527,6500973,6618565,6716999,6884835,6964865,7028679,7101052,7176834,7248722,7333536,7449087,7574562,7671254,7759947,7867239,7996720,8118032,8249922,8387930,8509474,8614154,8714049,8794741,8885029,8992313,9113662,9221263,9324319,9437479,9555006,9686738,9805864,9927012,10043018,10178569,10334386,10405323,10622124,10847186,11017251,11166980,11360102,11551685,11721170,11887157,12062683,12254507,12412000,12567000,12719000,12867000,13013000,13158000,13301000,13442000,13580000,13716000,13850000,13980000,14109000,14234000,14358000,14480000,14601000,14721000,14840000,14959000,15077000,15195000,15313000,15432000,15550000,15669000,15788000,15907000,16027000,16147000,16266000,16385000,16502000
Austria,"Population, male",3282797,3303028,3325774,3349873,3375100,3400030,3426982,3455792,3476922,3492071,3507355,3526064,3549599,3572210,3581050,3574148,3570260,3573926,3573309,3569618,3572232,3584241,3589984,3587587,3590946,3596364,3602463,3608671,3618029,3639196,3672618,3715871,3764035,3802473,3824118,3836304,3847121,3856495,3865064,3876199,3888395,3905356,3925924,3945945,3971306,3999505,4020734,4035484,4050212,4063307,4075960,4093052,4115499,4143781,4180208,4231046,4280497,4319257,4334000,4348000,4362000,4376000,4389000,4401000,4413000,4424000,4434000,4443000,4452000,4459000,4466000,4472000,4477000,4482000,4486000,4488000,4491000,4492000,4492000,4491000,4490000,4488000,4485000,4481000,4476000,4471000,4466000,4460000,4454000,4448000,4442000
Azerbaijan,"Population, male",1863218,1932008,2003975,2077304,2149590,2219059,2285019,2347682,2407314,2464555,2519911,2573349,2624774,2674696,2723758,2772484,2821126,2869760,2918475,2967307,3016298,3065467,3114935,3165026,3216108,3268405,3321891,3376320,3431352,3486555,3500489,3553815,3606982,3661399,3710633,3753172,3790889,3827454,3864371,3899994,3935204,3970493,4006311,4043667,4086139,4134503,4185803,4238519,4333036,4428396,4485924,4549357,4614743,4679119,4741751,4801853,4858482,4912660,4964000,5011000,5055000,5096000,5133000,5168000,5199000,5228000,5254000,5278000,5301000,5321000,5340000,5358000,5374000,5390000,5405000,5419000,5431000,5443000,5454000,5464000,5473000,5480000,5486000,5491000,5494000,5496000,5497000,5496000,5495000,5492000,5488000
"Bahamas, The","Population, male",52385,55329,58466,61743,65095,68452,71821,75173,78393,81327,83887,86009,87741,89268,90839,92641,94729,97052,99545,102080,104582,107021,109450,111834,114164,116449,118637,120753,122842,124955,127162,129503,131950,134365,136555,138406,139829,140935,141962,143261,145097,147542,150513,153852,157311,160713,164004,167231,170374,173428,176389,179245,181974,184567,187024,189349,191536,193586,196000,197000,199000,201000,203000,205000,206000,208000,210000,211000,213000,214000,216000,217000,218000,219000,220000,221000,222000,223000,224000,225000,226000,227000,228000,228000,229000,230000,231000,231000,232000,233000,233000
Bahrain,"Population, male",86961,90316,93685,96942,99917,102535,104741,106689,108732,111354,114922,119424,124809,131354,139372,149005,160519,173644,187255,199835,210355,218279,224029,228602,233474,239714,247705,257059,267170,277090,286170,294453,302323,309882,317315,324897,332613,340858,350778,363871,381226,402690,428002,457881,493193,534147,582041,635708,689914,737590,774051,796306,806678,812280,823306,846757,885454,936284,993000,1047000,1091000,1124000,1147000,1164000,1179000,1194000,1212000,1230000,1248000,1265000,1280000,1293000,1305000,1316000,1326000,1336000,1345000,1354000,1362000,1370000,1378000,1385000,1392000,1398000,1405000,1411000,1416000,1422000,1427000,1432000,1436000
Bangladesh,"Population, male",24911873,25606428,26321005,27067470,27862773,28715277,29638894,30620103,31607333,32530722,33344390,34024606,34597563,35128762,35711606,36413668,37256834,38221711,39284154,40403391,41548723,42714090,43907601,45128509,46378664,47657795,48964831,50292949,51629657,52959323,54270961,55556368,56818053,58068797,59327823,60607850,61908996,63222337,64540091,65851128,67144693,68424897,69687123,70901945,72031407,73051455,73946800,74732913,75454664,76175414,76941068,77768403,78645073,79552351,80459145,81342972,82198905,83035772,83861000,84685000,85516000,86356000,87198000,88034000,88853000,89644000,90406000,91139000,91843000,92521000,93174000,93802000,94402000,94976000,95523000,96043000,96536000,97003000,97443000,97857000,98248000,98614000,98957000,99275000,99568000,99836000,100079000,100297000,100491000,100660000,100807000
Barbados,"Population, male",103461,104010,104916,106048,107208,108246,109117,109874,110586,111355,112251,113307,114484,115669,116746,117622,118256,118694,119005,119299,119649,120075,120571,121107,121676,122261,122872,123508,124143,124757,125319,125815,126263,126677,127081,127492,127921,128362,128808,129233,129637,130016,130370,130723,131102,131532,132016,132544,133098,133640,134147,134616,135048,135455,135826,136177,136498,136794,137000,137000,137000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,137000,137000,137000,137000,137000,136000,136000,136000,136000,135000,135000,135000,134000,134000,134000,134000,133000
Belarus,"Population, male",3706107,3747372,3791790,3837999,3884633,3930335,3975935,4022339,4068371,4112891,4154716,4194770,4233917,4270781,4303954,4332035,4357569,4386783,4420493,4452537,4484219,4519131,4553139,4587478,4622105,4656356,4692754,4729721,4748401,4766670,4778366,4781766,4791663,4801233,4794613,4779054,4764284,4746193,4725847,4707116,4684213,4657329,4623104,4585022,4547723,4511062,4478373,4453195,4433893,4421023,4411603,4402881,4399404,4401400,4406803,4414950,4421148,4424371,4411000,4397000,4383000,4368000,4353000,4337000,4321000,4303000,4284000,4264000,4243000,4222000,4199000,4176000,4153000,4130000,4106000,4084000,4061000,4040000,4019000,4000000,3981000,3963000,3947000,3931000,3917000,3903000,3890000,3878000,3867000,3855000,3844000
Belgium,"Population, male",4503524,4517094,4533442,4565624,4607152,4647323,4677048,4701444,4718271,4729870,4732626,4739202,4755653,4768512,4781582,4793742,4800959,4805831,4809540,4813315,4818261,4817946,4816634,4816431,4816750,4818768,4821284,4826362,4842768,4861369,4876707,4895500,4915880,4935471,4950976,4961594,4971479,4983657,4994557,5006580,5019740,5038558,5063146,5086571,5110738,5140743,5176328,5215888,5258411,5301687,5350771,5425290,5464177,5490864,5505482,5541882,5577545,5607648,5650000,5690000,5722000,5748000,5772000,5793000,5814000,5836000,5857000,5878000,5899000,5918000,5937000,5954000,5970000,5986000,6001000,6016000,6030000,6043000,6057000,6069000,6081000,6093000,6105000,6116000,6126000,6137000,6147000,6157000,6166000,6176000,6185000
Belize,"Population, male",45461,46797,48158,49568,51028,52570,54199,55884,57581,59200,60683,62004,63210,64317,65385,66463,67558,68663,69853,71186,72730,74486,76454,78579,80803,83076,85417,87832,90237,92505,94571,96360,97949,99578,101597,104242,107613,111599,115968,120363,124519,128349,131946,135378,138811,142329,145962,149672,153418,157163,160869,164530,168164,171789,175429,179106,182815,186547,190000,194000,198000,202000,205000,209000,213000,216000,220000,223000,227000,230000,234000,237000,240000,243000,247000,250000,253000,256000,259000,262000,264000,267000,270000,273000,275000,278000,280000,283000,285000,288000,290000
Benin,"Population, male",1156653,1174505,1193682,1214260,1236327,1259940,1285185,1312016,1340314,1369845,1400497,1432232,1465180,1499542,1535628,1573664,1613797,1656027,1700363,1746755,1795186,1845824,1898838,1954270,2012142,2072577,2135321,2200613,2269539,2343544,2423543,2510181,2602819,2699502,2797457,2894761,2990565,3085567,3181233,3279808,3382860,3490952,3603444,3719314,3836993,3955403,4074234,4194025,4315621,4440262,4568836,4701592,4838309,4978823,5122843,5270127,5420681,5574556,5732000,5891000,6054000,6219000,6387000,6558000,6731000,6907000,7085000,7266000,7449000,7635000,7823000,8014000,8207000,8402000,8599000,8798000,8999000,9202000,9407000,9614000,9822000,10032000,10243000,10456000,10669000,10884000,11101000,11318000,11536000,11755000,11975000
Bhutan,"Population, male",113813,116634,119531,122569,125821,129358,133183,137287,141680,146346,151284,156474,161909,167571,173463,179563,185874,192381,198940,205377,211586,217357,222728,228073,233960,240688,248658,257543,266105,272653,276084,275880,272694,268118,264412,263222,265037,269401,275940,283903,292714,302361,312899,323870,334679,344887,354266,362826,370725,378258,385612,392823,399773,406418,412657,418442,423750,428629,433000,438000,442000,446000,450000,455000,459000,462000,466000,470000,473000,476000,479000,482000,485000,488000,490000,492000,495000,497000,499000,501000,502000,504000,505000,507000,508000,509000,510000,511000,512000,513000,513000
Bolivia,"Population, male",1829638,1865929,1903232,1941588,1981059,2021697,2063533,2106585,2150893,2196523,2243497,2291798,2341461,2392597,2445354,2499838,2556067,2613927,2673199,2733563,2794767,2856774,2919564,2982948,3046697,3110675,3174770,3239077,3303939,3369810,3437041,3505691,3575685,3647060,3719850,3794027,3869632,3946560,4024468,4102888,4181460,4260052,4338688,4417338,4496071,4574931,4653862,4732823,4811868,4891071,4970471,5050069,5129856,5209865,5290137,5370711,5451584,5532694,5614000,5695000,5776000,5857000,5938000,6019000,6099000,6179000,6259000,6338000,6416000,6494000,6571000,6648000,6724000,6799000,6874000,6947000,7020000,7091000,7161000,7230000,7298000,7365000,7431000,7495000,7558000,7620000,7681000,7741000,7799000,7856000,7912000
