Rank,Year,Country,CONF,Elo,GDP,Population,FAVSPORT,GENPLAYERNUM,GENPLAYERYN,Population..11,GDP_per_Capita,Strength
72,2000,Algeria,CAF,1526,54790245601,31183660,1,0,0,15803153,1794.70,21.00
72,2001,Algeria,CAF,1525,54744714396,31592153,1,0,0,16006520,1768.58,21.00
72,2002,Algeria,CAF,1503,56760288974,31995046,1,0,0,16204849,1806.86,21.00
73,2003,Algeria,CAF,1526,67863829880,32403514,1,0,0,16404313,2128.39,21.00
98,2004,Algeria,CAF,1426,85324998814,32831096,1,0,0,16612537,2636.31,21.00
101,2005,Algeria,CAF,1414,103000000000,33288437,1,0,0,16835566,3141.03,21.00
100,2006,Algeria,CAF,1419,117000000000,33777915,1,0,0,17074632,3508.96,21.00
105,2007,Algeria,CAF,1407,135000000000,34300076,1,0,0,17330072,3986.56,21.00
96,2008,Algeria,CAF,1444,171000000000,34860715,1,0,0,17605574,4943.50,21.00
63,2009,Algeria,CAF,1585,137000000000,35465760,1,0,0,17905067,3886.06,21.00
98,2010,Algeria,CAF,1464,161000000000,36117637,1,0,0,18230398,4480.72,21.00
95,2011,Algeria,CAF,1481,200000000000,36819558,1,0,0,18583561,5453.89,21.00
71,2012,Algeria,CAF,1563,209000000000,37565847,1,0,0,18961440,5574.51,21.00
61,2013,Algeria,CAF,1586,210000000000,38338562,1,0,0,19354174,5477.06,21.00
43,2014,Algeria,CAF,1674,214000000000,39113313,1,0,0,19748272,5466.33,21.00
45,2015,Algeria,CAF,1666,166000000000,39871528,1,0,0,20133470,4150.69,21.00
53,2016,Algeria,CAF,1633,159000000000,40606052,1,0,0,20505903,3901.87,21.00
73,2017,Algeria,CAF,1539,170000000000,41318142,1,0,0,20866388,4292.27,21.00
80,2018,Algeria,CAF,1509,181761006289,42042720,1,0,0,21215000,4669.22,21.00
80,2000,Angola,CAF,1474,9129634978,16440924,1,0,0,8033545,535.47,6.00
68,2001,Angola,CAF,1539,8936063723,16983266,1,0,0,8298798,508.86,6.00
81,2002,Angola,CAF,1489,12497347956,17572649,1,0,0,8587105,690.92,6.00
88,2003,Angola,CAF,1464,14188949398,18203369,1,0,0,8895760,761.60,6.00
71,2004,Angola,CAF,1540,19640853734,18865716,1,0,0,9220109,1023.52,6.00
70,2005,Angola,CAF,1547,28233712738,19552542,1,0,0,9556746,1428.46,6.00
58,2006,Angola,CAF,1591,41789479932,20262399,1,0,0,9904946,2052.72,6.00
79,2007,Angola,CAF,1529,60448924662,20997687,1,0,0,10265910,2882.80,6.00
89,2008,Angola,CAF,1503,84178035579,21759420,1,0,0,10640262,3897.51,6.00
100,2009,Angola,CAF,1447,75492385928,22549547,1,0,0,11029120,3393.55,6.00
100,2010,Angola,CAF,1459,82526143645,23369131,1,0,0,11433115,3601.68,6.00
92,2011,Angola,CAF,1487,104000000000,24218565,1,0,0,11852498,4411.58,6.00
89,2012,Angola,CAF,1488,114000000000,25096150,1,0,0,12286368,4686.53,6.00
101,2013,Angola,CAF,1445,125000000000,25998340,1,0,0,12732763,4988.94,6.00
103,2014,Angola,CAF,1442,127000000000,26920466,1,0,0,13189103,4914.11,6.00
105,2015,Angola,CAF,1422,103000000000,27859305,1,0,0,13653564,3863.36,6.00
154,2016,Angola,CAF,1222,95337203468,28813463,1,0,0,14125405,3484.60,6.00
152,2017,Angola,CAF,1242,124000000000,29784193,1,0,0,14605264,4407.66,6.00
146,2018,Angola,CAF,1256,161280165986,30787627,1,0,0,15095000,4114.54,6.00
5,2000,Argentina,CONMEBOL,2003,284000000000,37057452,1,1,1,18131323,8386.59,102.20
2,2001,Argentina,CONMEBOL,2022,269000000000,37471509,1,1,1,18331826,7851.66,102.20
4,2002,Argentina,CONMEBOL,1995,97724004252,37889370,1,1,1,18535209,2898.29,102.20
2,2003,Argentina,CONMEBOL,2018,128000000000,38309379,1,0,0,18740331,3648.06,102.20
1,2004,Argentina,CONMEBOL,2029,165000000000,38728696,1,0,0,18945315,4314.40,102.20
8,2005,Argentina,CONMEBOL,1933,199000000000,39145488,1,0,0,19148908,5163.55,102.20
5,2006,Argentina,CONMEBOL,1981,233000000000,39558890,1,1,1,19350590,5976.08,102.20
3,2007,Argentina,CONMEBOL,2013,288000000000,39970224,1,1,1,19551139,7315.73,102.20
6,2008,Argentina,CONMEBOL,1974,362000000000,40382389,1,1,1,19752158,9146.79,102.20
7,2009,Argentina,CONMEBOL,1897,333000000000,40799407,1,1,1,19955888,8337.81,102.20
5,2010,Argentina,CONMEBOL,1993,424000000000,41223889,1,2,1,20163793,10412.95,102.20
7,2011,Argentina,CONMEBOL,1916,530000000000,41656879,1,2,1,20376426,12787.81,102.20
4,2012,Argentina,CONMEBOL,2015,546000000000,42096739,1,2,1,20592912,13889.79,102.20
4,2013,Argentina,CONMEBOL,2021,552000000000,42539925,1,2,1,20811443,14488.83,102.20
2,2014,Argentina,CONMEBOL,2050,526000000000,42981515,1,2,1,21029519,13208.83,102.20
3,2015,Argentina,CONMEBOL,2024,595000000000,43417765,1,2,1,21245214,14895.32,102.20
2,2016,Argentina,CONMEBOL,2045,555000000000,43847430,1,2,1,21457908,12708.87,102.20
6,2017,Argentina,CONMEBOL,1984,638000000000,44271041,1,2,1,21667866,14466.55,102.20
13,2018,Argentina,CONMEBOL,1895,733412612613,44698745,1,2,1,21875000,14043.68,102.20
23,2000,Australia,AFC,1789,415000000000,19153000,0,0,0,9555006,20841.77,31.40
19,2001,Australia,AFC,1829,378000000000,19413000,0,0,0,9686738,19422.81,31.40
21,2002,Australia,AFC,1807,394000000000,19651400,0,0,0,9805864,21635.91,31.40
